CC1,CC2,CFF1,IB1,IB2,IB3,IB4,IB5,IB6,IB7,RC2,RF1,RF2,RFF1,RFF2,RS1,RS2,RS3,w_M18_per_finger,l_M18,nf_M18,w_M16_per_finger,l_M16,nf_M16,w_M15_per_finger,l_M15,nf_M15,w_M12_per_finger,l_M12,nf_M12,w_M10_per_finger,l_M10,nf_M10,w_M9_per_finger,l_M9,nf_M9,w_M6_per_finger,l_M6,nf_M6,w_M5_per_finger,l_M5,nf_M5,w_M2_per_finger,l_M2,nf_M2,w_M1_per_finger,l_M1,nf_M1,w_M0_per_finger,l_M0,nf_M0,w_M14_per_finger,l_M14,nf_M14,w_M13_per_finger,l_M13,nf_M13,w_M8_per_finger,l_M8,nf_M8,w_M7_per_finger,l_M7,nf_M7,w_M4_per_finger,l_M4,nf_M4,w_M3_per_finger,l_M3,nf_M3,reward
0.0,0.7592450102576819,0.04280274569225227,0.9999999990080433,0.01440000191328894,0.5602985860491618,0.7791609467790728,0.051984019900008546,0.0,0.03799404521366112,0.872866152796626,0.3894247734005733,0.47148206963327766,0.1394671436901378,0.5067263508747825,0.4122594635423864,0.16207532792907164,0.07369697054333903,0.0,0.0,0.5010587943125304,8.191705929490043e-09,0.9051070421570457,1.0667481211199534e-08,0.3721162835526026,0.0,0.6796958289377061,0.500035268968238,0.05730649475561847,0.0,0.2501321072182136,0.0,0.0,0.9115727578739685,0.0,0.0,0.044907339593035195,0.5764821519103179,0.08238993698172495,0.8639565480497386,0.8511121978464816,0.0,0.18788322407072955,0.7549848435345313,0.843035962279978,0.032125517467678166,0.0,0.8237877808984228,4.935119323944409e-09,0.0,0.9179191047786175,0.0,0.772916197596798,0.1777585666788908,0.0,0.0,0.0,0.6385596447559516,0.7192302065239976,5.084189622633677e-10,0.9669366219980744,0.7958923837658171,0.7450121637645571,0.0,0.71242015783725,0.023168697586862796,0.5126278199263606,0.35797092544492126,0.8777011384659802,-3.522803357714204
0.0,0.24359109068644602,0.8709829773373704,0.9499858611734663,0.5221135012538439,0.02496343043019462,0.0,0.46194658772422,0.04314092680337755,0.0,0.0,0.6562298906521311,0.0,0.0,0.8142814655368605,0.0,0.22392716282646674,0.5003245435597674,0.0,0.42663537923911277,0.02691097721868477,0.7699015565959345,0.8009622969866365,0.38696792243963557,0.0,0.9036880942763035,0.3197694879315546,0.8604584126866036,0.5800730285928571,0.8371285611674516,0.8102630856795234,0.2507452933275528,0.1778355986737854,1.0,0.9164983886947881,0.0544468990415371,0.9467693816966737,0.5232768130415993,0.2260035180310526,0.0,0.9599173593888002,0.4872913772422749,0.0,1.0,0.17624376673939857,0.8339627468516542,0.0,0.8503546408101013,0.11098712290113955,0.0,0.6594220727915486,0.20166258883645352,0.6449039538935996,0.10879629982920536,0.5181819569811649,0.9974110923096731,0.5320478354985793,0.9045145589904224,0.7940971787516445,0.8103079215076177,0.3406413793886821,0.16137191583430865,0.9387287936075432,0.22678248586279603,0.36485807322992314,0.9951781573821514,0.8879019089524729,0.7194122770011655,0.7998406541952497,-3.6205004435581523
0.5652782505898517,0.7080940717411791,0.3878339609537321,0.23888786215003333,0.8109366247080148,0.561655058063505,0.3271809594595988,0.447552449021108,0.4623296302479266,0.3676851309759841,0.5503054961844416,0.7384880967171564,0.9998994321097041,0.5955552983928258,0.29466433389059143,0.2254494624258827,0.8708831623373418,0.9302584515994962,0.4060004504511958,0.7472612274956049,0.9298889778688654,0.8775428000243247,0.0411526970423316,0.5560345334979402,0.7959296825638358,0.8343267928331786,0.22893523702226048,0.7992525283404374,0.4793973467436501,0.149804054394725,0.28337769098071297,0.23260736897317136,0.6796713776279883,0.743195893425834,0.1130525061761194,0.42338074596344877,0.7527194826290654,0.9824252522077623,0.8935094174789961,0.9073936738603672,0.4311033841394081,0.03502906260698235,0.05439169797589938,0.9252223060286926,0.47704631189598556,0.8385814723386276,0.7060828435032421,0.10326885575410971,0.9721777242182593,0.22979328924992337,0.5210481812249316,0.5642931690732297,0.6807962593017044,0.8889818039730959,0.6315452016979435,0.577555491204392,0.7625111120991869,0.7363044534040984,0.808131089049613,0.0448378999990402,0.25571224012019345,0.03898069027063389,0.8992680135776208,0.8818706305148715,0.8417365925299504,0.23571688416739944,0.3054799604885743,0.5974885559004764,0.19270666618060361,-3.698976483539796
0.2915527316991767,0.18823330017880602,0.6820579889801637,0.8962186513325159,0.8639258891926901,0.28196874039743136,0.16832285361485871,0.8241137180609761,0.405311524463395,0.5321450661922195,0.10513457457290454,0.8342354923598998,0.4658345237281496,0.4278777362525814,0.7511646390438493,0.7993369519399118,0.26026295140222355,0.914950729888823,0.6057115929702347,0.6067113121499397,0.3003808186397612,0.10322286036504735,0.6646310836061654,0.10110267343744261,0.03230180905812241,0.8311676510324588,0.37446934228064993,0.9774877947819298,0.27984610777610264,0.2990893918622489,0.7763865865356568,0.27173734852680087,0.2853884726123312,0.5410524613500521,0.4189120378067108,0.27482555836731315,0.892624624295744,0.07439997025647971,0.527917774216214,0.7301676086719451,0.3701369899672766,0.5833285427345444,0.18980580526015556,0.43916259973512983,0.34882326715405704,0.6864173796450241,0.8146884174466397,0.3289743402311925,0.6048765709156302,0.5556056390835677,0.768455906507014,0.1273571647619246,0.08409708437792796,0.8417903624255607,0.3568613364565975,0.6147857488851388,0.38287736022795943,0.17737949674608167,0.3318924613513491,0.7644787796613612,0.7270400042163488,0.1450582091559045,0.0033315055250074943,0.3993487029661487,0.5833387476174545,0.9682894717462225,0.3983694231607109,0.695025955734891,0.5061665194721533,-3.7179231118454057
0.24364793317846256,0.19184301131456427,0.8359787353303682,0.040916968027129144,0.0,0.7804702074237156,0.0,0.8437779065641753,0.11459898331256746,0.0,0.7479203636090989,0.0,0.30934062457003075,0.0,0.8936784278341532,0.0,0.3007244288707217,0.803307858894921,0.0,0.8521954644251383,0.13343982040730568,0.9578190346874936,1.0,0.0,0.0,0.28700070038160136,0.8491686557975826,0.0,0.0,0.0,0.9107020797238937,0.0708371844338589,0.8543947903167735,0.24192299099975323,0.0,0.03202260811036317,0.0,0.0,0.8156724619233192,0.0036733988167360065,0.9003757219509173,0.8904991521358596,0.000783428166064767,0.48676810966381223,0.041306637695691095,0.0,0.8134719968104465,0.27640789216311556,0.3097485628386747,0.09612330182441275,1.0,0.7088315640901091,0.0,0.01002719734723908,0.0,0.24702240767123376,0.9645199580734733,0.20281839663012058,0.0,0.6737995791106554,0.8887698590034043,0.20188749091633074,0.27876342205597815,0.9371569160422751,0.9156904057328611,0.7862943435340041,0.2545770681604119,0.0,0.032701737307663126,-3.5817576375323155
0.026417912589094445,0.422370990027072,0.3473353922203292,0.1954885764015749,0.9451548694675799,0.2290373724371034,0.15649093433510688,0.5402062966910461,0.4732543040809159,0.23620787058935525,0.05986051966519672,0.1831596543156344,0.7462522995203938,0.2770288119049784,0.22347981532778205,0.20494377732913038,0.9956499318852642,0.7510163826806577,0.18169569943858654,0.4468702119776708,0.6389476836253424,0.19886541559613968,0.9255483423922214,0.9708882633692355,0.8326885560075712,0.370532855181063,0.07103195457073785,0.0320426881200192,0.8318982426834691,0.050265667692440646,0.1226117012668869,0.8187303283394259,0.7064417269452962,0.8032545301985553,0.8198373613478506,0.5025476548415874,0.49496868713811,0.7105107119060693,0.5098453255194435,0.43012573511504215,0.06266470285877135,0.7825865682192137,0.5660241450916406,0.4811989370961092,0.00945683255957408,0.3607517163658441,0.3442299342642742,0.18848460334969674,0.16562315373696068,0.11878768984357613,0.3403557909907609,0.4557574510234238,0.5766729867951642,0.37876458849878514,0.9893023053213846,0.7065356388702578,0.09507841289731778,0.8058125137666753,0.11473748603527198,0.40536897859747584,0.23449528851670054,0.25693908206278415,0.10086122543324583,0.9655273484214351,0.3952343551001222,0.06867843412698195,0.43599755460078393,0.16022361937305452,0.26959573839387396,-3.681093666991439
0.6741260382922769,0.6619731837497413,0.13638532865484065,0.1551886095571403,0.14773353014211194,0.30157203864749493,0.3180523299179735,0.3455599239349125,0.3921929109866075,0.37803237638594656,0.577818550062135,0.5933729807980493,0.8115985415588522,0.5226982880175346,0.23684946689433495,0.012206014796228959,0.9876035393915026,0.5491611475154226,1.883369805488755e-05,0.2197261428817039,0.018512360249471338,0.011868453000310808,0.4766029165666583,0.8434545930045991,0.31742166766961,0.46220274033532716,0.23693916716257735,0.1847392319325569,0.1560256490354798,0.24283678798398256,0.36640969126537637,0.7176078956654863,0.15771799958384602,0.8117622855900423,0.8052195252102851,0.690736389059697,0.19041983566184184,0.8032326066777763,0.11921091281954588,0.5046821478666491,0.03160682051972341,0.7420293677735946,0.05436397891715204,0.6386249360272792,0.1074016596547505,0.5231343275991707,0.7087541886154777,0.5026762286131095,0.898182028489147,0.007346744101607627,0.8230549397662454,0.6878255286062471,0.6702805760408137,0.5510052156831874,0.7663377603161342,0.6961841205650604,0.8023275856884616,0.9066194685220073,0.5210625988466707,0.8929129721941388,0.7032741441243477,0.5657425697377941,0.3442377930113195,0.7281133426663328,0.813291227846855,0.7207050811005057,0.7562662484070155,0.727261856465203,0.32359887577743796,-3.483362124464197
0.9962676434798838,0.9076580006264728,0.37761689337985654,0.1554493819050632,0.0,0.34259086389589427,0.0,0.31856034205864847,0.24163109525252935,0.8373267687331822,0.9713741932188473,0.9109317623270741,0.15304432291085301,0.7349834042464364,0.4555215028736655,0.20325783673166875,0.06307816061904692,1.0,0.8741754092637942,0.8760004694771013,0.17859749957725213,0.5867366624870219,0.991669961614444,0.2491169884794764,0.15326920819589007,0.0,0.03884992715868407,0.0,0.8377225436986108,0.9087401446729283,0.2881800482251774,0.3224775805506357,0.0,0.7806793128895718,0.33662737360165207,0.19259368918178782,0.36531556742422855,0.8388651960606245,0.14758922114872197,0.22381191553370583,1.0,0.12636335323522227,0.0,0.01261459867388126,0.1304415788305351,0.9315457359014623,0.18738133582393257,0.9988356599044336,0.9980385570334925,0.08437592680541683,0.23302321211953703,0.06404176289667829,0.35539689093433996,0.9187461538975163,0.1594047496943617,0.03152122337272065,0.6047499688282411,0.41951794681210586,0.842251229253384,0.5816527755539966,0.7244682753216523,0.39494246682597806,0.2531899450595936,0.9652148248499912,0.2927103209825039,1.7495211036273915e-07,0.19130221527058489,0.07372025167632978,0.28027605588834703,-3.6518844288089047
0.3682905713487157,0.6099572562858884,0.8166738432963426,0.3159617547396394,0.7169617855031998,0.9237209285721674,0.3821609946857792,0.6080852284532469,0.11319343151660122,0.4619053390141907,0.34342232366497527,0.30219516189004414,0.9052156301271066,0.6764415936558102,0.6848008150121726,0.4770973538246568,0.7524011449545047,0.9599792226090396,0.9272661263109866,0.7989899545718827,0.8239289943231518,0.7641639215915518,0.6369020045524586,0.3371278290341372,0.9462507917318428,0.9598059874607378,0.08932860017099664,0.8039219121432697,0.7212455406782794,0.06545430492856263,0.24238833034746957,0.040908253174766984,0.3423757822730301,0.036547665729482426,0.8763785698661836,0.9410007541630194,0.9777599529260926,0.17818177530605528,0.3963380140375339,0.3513141016794246,0.7992186027458171,0.12883674134483203,0.6038355036639128,0.6317255754343873,0.3966321142492461,0.5786963703439894,0.8509716437127199,0.6971873615275789,0.5189568666343386,0.7208063133256613,0.9258356873395835,0.840563796815465,0.20139413589723243,0.8723437891698959,0.3276611743917188,0.4424469616917669,0.2702239131948989,0.09518095577461794,0.6404069557155176,0.47536854938522277,0.6185656943081548,0.6746402532899107,0.25966455396939697,0.6495544343169474,0.05797276357291292,0.4812487970443651,0.9973989332026392,0.9727543291420163,0.364816516847846,-3.6369512096979326
0.009271312940883791,0.07728287774076636,0.17838981531047027,0.46150670725202836,0.0,0.2681975067326061,0.2098249586393259,0.7952681501134089,0.0,0.47005777931844184,1.0,0.3623309503297435,0.0,0.1630359631613748,0.33777439914469465,0.8392861820982465,0.435721042388305,0.046545079951857304,0.0,0.9281369780709812,0.238549999887405,0.0,1.0,0.7741675966693468,0.5874401272281757,0.061982840194271305,0.22505438192312255,0.2789611427259764,0.8841682926283758,0.24353503858607584,0.9637698441949997,0.9442552507612993,0.025730266484931263,0.5108254801564642,0.25669835294166576,0.41154493043114926,0.8123056615497641,0.0,0.15561694144578203,0.04925482391973468,0.21931254293771463,0.2239169216407264,0.1411039403236728,0.7573555873693285,0.2694188529752587,0.04995993919531355,0.9312460793443752,0.6655970699873927,0.1442085254248211,0.9106909706117317,0.9934064151144156,0.0055438479538639784,1.0,0.0,0.14973552639224474,0.7972404170629332,0.11546478840348295,0.9682091951089277,0.2319169421774705,0.17177637353593478,0.03823360042541302,0.8662365260301609,0.7967218409117731,0.0,0.9917955246123012,0.17485843583367877,0.0,0.0,0.3872840752087764,-3.5999960113142597
